courseId,userId,fullName,emailAddress,photoUrl
course_003,student_020,Jasmine Wong,jwong@westlake.edu,https://lh3.googleusercontent.com/a/student020
course_003,student_021,Alex Petrov,apetrov@westlake.edu,https://lh3.googleusercontent.com/a/student021
course_003,student_022,Hannah Taylor,htaylor@westlake.edu,https://lh3.googleusercontent.com/a/student022
course_003,student_023,Cameron Douglas,cdouglas@westlake.edu,https://lh3.googleusercontent.com/a/student023
course_003,student_024,Destiny Moore,dmoore@westlake.edu,https://lh3.googleusercontent.com/a/student024
course_003,student_025,Isaiah Bennett,ibennett@westlake.edu,https://lh3.googleusercontent.com/a/student025
course_003,student_026,Natalie Foster,nfoster@westlake.edu,https://lh3.googleusercontent.com/a/student026
course_003,student_027,Julian Hayes,jhayes@westlake.edu,https://lh3.googleusercontent.com/a/student027
course_003,student_028,Mackenzie Price,mprice@westlake.edu,https://lh3.googleusercontent.com/a/student028
course_003,student_029,Gabriel Ross,gross@westlake.edu,https://lh3.googleusercontent.com/a/student029
course_003,student_072,Aurora Perry,aperry@westlake.edu,https://lh3.googleusercontent.com/a/student072
course_003,student_073,Elijah Long,elong@westlake.edu,https://lh3.googleusercontent.com/a/student073
course_003,student_074,Savannah Butler,sbutler@westlake.edu,https://lh3.googleusercontent.com/a/student074
course_003,student_075,Carter Barnes,cbarnes@westlake.edu,https://lh3.googleusercontent.com/a/student075
course_003,student_076,Stella Fisher,sfisher@westlake.edu,https://lh3.googleusercontent.com/a/student076
course_003,student_077,Wyatt Sanders,wsanders@westlake.edu,https://lh3.googleusercontent.com/a/student077
course_003,student_078,Nora Patterson,npatterson@westlake.edu,https://lh3.googleusercontent.com/a/student078
course_003,student_079,Leo Hughes,lhughes@westlake.edu,https://lh3.googleusercontent.com/a/student079
course_003,student_080,Hazel Washington,hwashington@westlake.edu,https://lh3.googleusercontent.com/a/student080
course_003,student_081,Adrian Griffin,agriffin@westlake.edu,https://lh3.googleusercontent.com/a/student081
course_003,student_082,Violet Diaz,vdiaz@westlake.edu,https://lh3.googleusercontent.com/a/student082
course_003,student_083,Hudson James,hjames@westlake.edu,https://lh3.googleusercontent.com/a/student083
course_003,student_084,Luna Russell,lrussell@westlake.edu,https://lh3.googleusercontent.com/a/student084
course_003,student_085,Dominic Hayes,dhayes2@westlake.edu,https://lh3.googleusercontent.com/a/student085
course_005,student_086,Marcus Chen,mchen@cascobay-marine.edu,https://lh3.googleusercontent.com/a/student086
course_005,student_087,Priya Ramanathan,pramanathan@cascobay-marine.edu,https://lh3.googleusercontent.com/a/student087
course_005,student_088,Jake Trudeau,jtrudeau@cascobay-marine.edu,https://lh3.googleusercontent.com/a/student088
uscg-charter-inspection-2026,student_100,Carlos Bennett,cbennett@luckystrike-charters.com,https://lh3.googleusercontent.com/a/student100
uscg-charter-inspection-2026,student_101,Marisol Reyes,mreyes@luckystrike-charters.com,https://lh3.googleusercontent.com/a/student101
uscg-charter-inspection-2025,student_100,Carlos Bennett,cbennett@luckystrike-charters.com,https://lh3.googleusercontent.com/a/student100
uscg-charter-inspection-2025,student_101,Marisol Reyes,mreyes@luckystrike-charters.com,https://lh3.googleusercontent.com/a/student101
